Whisky,Meta Critic,STDEV,#,Cost,Class,Super Cluster,Cluster,Country,Type
Bruichladdich Octomore 7.4,8.58,0.66,9,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Bunnahabhain Toiteach,8.58,0.37,16,$$$$,SingleMalt-like,J,J,Scotland,Malt
BenRiach 17yo Septendecim Peated,8.55,0.53,18,$$$$,SingleMalt-like,J,J,Scotland,Malt
Kilchoman Winter 2010 Release,8.53,0.15,4,$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Port Charlotte The Peat Project,8.5,0.39,7,$$$$,SingleMalt-like,J,J,Scotland,Malt
Compass Box Peat Monster 2010,8.47,0.85,3,$$$,SingleMalt-like,J,J,Scotland,Malt
Finlaggan Old Reserve,8.46,0.49,15,$$,SingleMalt-like,J,J,Scotland,Malt
Benromach Peat Smoke,8.43,0.25,15,$$$$,SingleMalt-like,J,J,Scotland,Malt
Ileach Peated Islay,8.38,0.33,8,$$,SingleMalt-like,J,J,Scotland,Malt
Laphroaig Quarter Cask,8.31,0.28,24,$$$$,SingleMalt-like,J,J,Scotland,Malt
Bunnahabhain Cruach Mhona,8.3,0.41,6,$$$,SingleMalt-like,J,J,Scotland,Malt
McClelland's Islay Single Malt,7.95,0.64,8,$$,SingleMalt-like,J,J,Scotland,Malt
Tomintoul Peaty Tang,7.89,0.71,11,$$,SingleMalt-like,J,J,Scotland,Malt
Laphroaig QA Cask,7.27,0.52,10,$$$,SingleMalt-like,J,J,Scotland,Malt
Santis Edition Dreifaltigkeit / Cask Strength Peated,7.15,1.65,11,$$$$,SingleMalt-like,J,J,Switzerland,Malt
Compass Box The General,9.18,0.28,10,$$$$$+,Scotch-like,,,Scotland,Blend
Compass Box Hedonism Quindecimus,8.93,0.42,8,$$$$$,Scotch-like,,,Scotland,Blend
Chivas Regal Ultis,8.89,0.45,7,$$$$$,Scotch-like,,,Scotland,Blend
Compass Box The Circus,8.85,0.3,5,$$$$$,Scotch-like,,,Scotland,Blend
Powers 12yo John's Lane,8.84,0.38,16,$$$$,Scotch-like,,,Ireland,Blend
Ballantine's 17yo,8.78,0.32,14,$$$$,Scotch-like,,,Scotland,Blend
High West Campfire,8.78,0.29,14,$$$$,Scotch-like,,,USA,Blend
Yellow Spot,8.76,0.22,15,$$$$,Scotch-like,,,Ireland,Blend
Chivas Regal 25yo,8.75,0.23,8,$$$$$+,Scotch-like,,,Scotland,Blend
Grant's 18yo,8.71,0.31,6,$$$,Scotch-like,,,Scotland,Blend
The Irishman Cask Strength,8.66,0.25,4,$$$$$,Scotch-like,,,Ireland,Blend
Hankey Bannister 12yo Regency,8.65,0.24,7,$$,Scotch-like,,,Scotland,Blend
Hankey Bannister Heritage,8.64,0.33,5,$$,Scotch-like,,,Scotland,Blend
Powers 12yo Reserve,8.61,0.25,6,$$$,Scotch-like,,,Ireland,Blend
Jameson 18yo Limited Reserve,8.6,0.23,10,$$$$$,Scotch-like,,,Ireland,Blend
Compass Box Great King St Artist's Blend,8.59,0.35,21,$$,Scotch-like,,,Scotland,Blend
Hankey Bannister 21yo Partner's Reserve,8.55,0.43,5,$$$$,Scotch-like,,,Scotland,Blend
Jameson Round Irish Whiskey,8.55,0.35,3,$$$$,Scotch-like,,,Ireland,Blend
Chivas Royal Salute 21yo,8.53,0.62,8,$$$$$,Scotch-like,,,Scotland,Blend
Compass Box Great King St Glasgow Blend,8.53,0.23,14,$$$,Scotch-like,,,Scotland,Blend
Johnnie Walker Blue Label,8.53,0.34,17,$$$$$,Scotch-like,,,Scotland,Blend
Johnnie Walker Green Label,8.53,0.35,21,$$$$,Scotch-like,,,Scotland,Blend
Teeling Single Grain (Wine Cask Finish),8.52,0.3,11,$$$,Scotch-like,,,Ireland,Grain
The Nikka 12yo Premium Blended,8.52,0.18,5,$$$$,Scotch-like,,,Japan,Blend
Cutty Sark Prohibition,8.5,0.47,14,$$,Scotch-like,,,Scotland,Blend
Ichiro's Malt & Grain,8.5,0.14,3,$$$$$,Scotch-like,,,Japan,Blend
Jameson Cooper's Croze Irish Whiskey,8.49,0.3,8,$$$$,Scotch-like,,,Ireland,Blend
Johnnie Walker Explorer‰Ûªs Club The Gold Route,8.49,0.33,8,$$$$,Scotch-like,,,Scotland,Blend
Writers Tears Pot Still Irish Whiskey,8.49,0.32,19,$$,Scotch-like,,,Ireland,Blend
Nikka Coffey Grain,8.48,0.52,18,$$$$,Scotch-like,,,Japan,Grain
Compass Box Delilah's,8.47,0.3,8,$$$$,Scotch-like,,,Scotland,Blend
Compass Box Hedonism,8.47,0.59,18,$$$$,Scotch-like,,,Scotland,Blend
Famous Grouse Gold Reserve 12yo,8.47,0.3,10,$$,Scotch-like,,,Scotland,Blend
Grant's 12yo,8.47,0.42,5,$$,Scotch-like,,,Scotland,Blend
Jameson Blender's Dog Irish Whiskey,8.46,0.36,6,$$$$,Scotch-like,,,Ireland,Blend
Jameson Gold Reserve,8.46,0.38,10,$$$$,Scotch-like,,,Ireland,Blend
TÌ© Bheag,8.46,0.31,15,$$,Scotch-like,,,Scotland,Blend
Johnnie Walker Double Black,8.43,0.39,15,$$,Scotch-like,,,Scotland,Blend
Powers Signature Release,8.43,0.53,6,$$$,Scotch-like,,,Ireland,Blend
Johnnie Walker Platinum Label,8.42,0.43,17,$$$$,Scotch-like,,,Scotland,Blend
Three Ships 10yo,8.41,0.37,9,$$$$,Scotch-like,,,South Africa,Blend
Johnnie Walker 10yo Rye Cask Finish,8.39,0.45,6,$$$,Scotch-like,,,Scotland,Blend
Kirin 50% Blend (Fuji Gotemba),8.39,0.45,3,$$$$,Scotch-like,,,Japan,Blend
Jameson Signature Reserve,8.38,0.32,5,$$,Scotch-like,,,Ireland,Blend
Johnnie Walker Explorer‰Ûªs Club The Spice Road,8.38,0.53,9,$$,Scotch-like,,,Scotland,Blend
Jameson 12yo Special Reserve,8.37,0.24,11,$$$$,Scotch-like,,,Ireland,Blend
Jameson Select Reserve (Black Barrel),8.37,0.38,18,$$,Scotch-like,,,Ireland,Blend
Johnnie Walker Explorer‰Ûªs Club The Royal Route,8.35,0.3,8,$$$$$,Scotch-like,,,Scotland,Blend
Suntory Old Whisky,8.32,0.28,8,$$$,Scotch-like,,,Japan,Blend
Suntory The Chita Single Grain,8.32,0.35,7,$$$,Scotch-like,,,Japan,Blend
Johnnie Walker Gold Label Reserve,8.31,0.34,18,$$$$,Scotch-like,,,Scotland,Blend
The Irishman Founder‰Ûªs Reserve,8.3,0.33,8,$$,Scotch-like,,,Ireland,Blend
Jameson Bold Irish Whiskey,8.29,0.39,4,$$$$,Scotch-like,,,Ireland,Blend
Jameson Distiller's Safe Irish Whiskey,8.26,0.54,7,$$$$,Scotch-like,,,Ireland,Blend
Johnnie Walker 12yo Black Label,8.26,0.47,24,$$,Scotch-like,,,Scotland,Blend
Blandnoch Pure Scot,8.24,0.21,5,$$$,Scotch-like,,,Scotland,Blend
Glendalough Double Barrel,8.24,0.34,7,$$,Scotch-like,,,Ireland,Grain
Chivas Regal 18yo,8.23,0.46,15,$$$$,Scotch-like,,,Scotland,Blend
Suntory Toki,8.23,0.45,10,$$$,Scotch-like,,,Japan,Blend
Jameson Caskmates Stout Edition,8.22,0.47,9,$$,Scotch-like,,,Ireland,Blend
Jameson Crested Irish Whiskey,8.22,0.38,4,$$,Scotch-like,,,Ireland,Blend
Compass Box Asyla,8.19,0.47,14,$$$,Scotch-like,,,Scotland,Blend
Black Bottle (pre-2013),8.18,0.5,15,$$,Scotch-like,,,Scotland,Blend
Kilbeggan 8yo Single Grain (Greenore),8.15,0.38,12,$$,Scotch-like,,,Ireland,Grain
Bain's Cape Mountain Whisky,8.14,0.51,9,$$,Scotch-like,,,South Africa,Grain
Famous Jubilee,8.14,0.16,3,$$,Scotch-like,,,Scotland,Blend
Teeling Poitin,8.14,0.23,5,$$,Scotch-like,,,Ireland,Blend
The Irishman Original Clan Irish Whiskey,8.14,0.24,4,$$,Scotch-like,,,Ireland,Blend
Bank Note 5yo Blended Scotch,8.1,0.66,5,$,Scotch-like,,,Scotland,Blend
Yamazakura 16yo Blended Whisky,8.08,0.54,3,$$$$$,Scotch-like,,,Japan,Blend
Catto's 12yo,8.06,0.31,5,$$,Scotch-like,,,Scotland,Blend
2 Gingers Irish Whiskey,8.05,0.34,3,$$,Scotch-like,,,Ireland,Blend
Cutty Sark Storm,8.05,0.48,8,$,Scotch-like,,,Scotland,Blend
Three Ships 5yo,8.05,0.49,9,$,Scotch-like,,,South Africa,Blend
Black Bottle (after 2013 re-launch),8.02,0.45,13,$$,Scotch-like,,,Scotland,Blend
Catto's Rare Old,8.02,0.67,5,$,Scotch-like,,,Scotland,Blend
Kakubin (Suntory Whisky),8.01,0.83,5,$$,Scotch-like,,,Japan,Blend
West Cork Original Irish Whiskey,8.01,0.49,3,$$,Scotch-like,,,Ireland,Blend
Grant's Blended Sherry Cask,8,0.21,6,$,Scotch-like,,,Scotland,Blend
Powers Gold Label,7.99,0.48,12,$$,Scotch-like,,,Ireland,Blend
Tullamore Dew Blended 12yo,7.98,0.32,10,$$$,Scotch-like,,,Ireland,Blend
Famous Grouse Smoky Black (Black Grouse),7.95,0.45,20,$$,Scotch-like,,,Scotland,Blend
Teacher's Highland Cream,7.95,0.72,11,$,Scotch-like,,,Scotland,Blend
Dewar's 12yo,7.94,0.35,14,$$,Scotch-like,,,Scotland,Blend
Highland Queen,7.92,0.45,3,$,Scotch-like,,,,
Grand Macnish,7.91,0.47,6,$,Scotch-like,,,Scotland,Blend
Islay Mist 8yo,7.91,0.47,9,$,Scotch-like,,,Scotland,Blend
Jameson Lively Irish Whiskey,7.9,0.39,3,$$$$,Scotch-like,,,Ireland,Blend
Johnnie Walker Explorer‰Ûªs Club The Adventurer,7.88,0.09,3,$$,Scotch-like,,,Scotland,Blend
Hankey Bannister Original,7.87,0.31,6,$,Scotch-like,,,Scotland,Blend
Tullamore Dew Blended,7.84,0.36,19,$$,Scotch-like,,,Ireland,Blend
Jameson Irish Whiskey,7.83,0.42,21,$$,Scotch-like,,,Ireland,Blend
Chivas Regal 12yo,7.79,0.44,23,$$,Scotch-like,,,Scotland,Blend
Grant's Family Reserve Blended,7.69,0.66,14,$,Scotch-like,,,Scotland,Blend
The Quiet Man Traditional Irish Whiskey,7.69,1.04,8,$$,Scotch-like,,,Ireland,Blend
Bushmills Original Blended,7.67,0.45,17,$$,Scotch-like,,,Ireland,Blend
Famous Grouse,7.65,0.55,20,$,Scotch-like,,,Scotland,Blend
Compass Box Orangerie,7.64,0.99,9,$$,Scotch-like,,,Scotland,Blend
Ballantine's Finest,7.62,0.61,12,$,Scotch-like,,,Scotland,Blend
White Oak Akashi Blended,7.59,0.69,8,$$$,Scotch-like,,,Japan,Blend
Bell's Original Scotch Whisky,7.57,0.69,8,$,Scotch-like,,,Scotland,Blend
Cutty Sark,7.54,0.46,15,$,Scotch-like,,,Scotland,Blend
Dewar's White Label,7.51,0.71,14,$$,Scotch-like,,,Scotland,Blend
Whyte & Mackay Special Reserve,7.47,0.46,7,$,Scotch-like,,,Scotland,Blend
Johnnie Walker Red Label,7.36,0.59,21,$,Scotch-like,,,Scotland,Blend
P&M Blended Whisky,7.31,1.1,5,$,Scotch-like,,,France,Blend
Passport Blended Scotch,7.29,1.08,8,$,Scotch-like,,,Scotland,Blend
J&B Rare,6.95,1.07,11,$,Scotch-like,,,Scotland,Blend
Yamazakura Blended Whisky,6.69,1.03,3,$$$,Scotch-like,,,Japan,Blend
Booker's Rye,9.2,0.33,9,$$$$$+,Rye-like,,R4,USA,Rye
Lot 40 Cask Strength (Single Cask),9.18,0.1,6,$$$$,Rye-like,,,Canada,Rye
High West Rocky Mountain Rye 21yo,9.15,0.22,9,$$$$$+,Rye-like,,R4,USA,Rye
Thomas H. Handy Sazerac,9.11,0.22,18,$$$$$+,Rye-like,,R4,USA,Rye
High West Rocky Mountain Rye 16yo,9.1,0.31,6,$$$$$,Rye-like,,R4,USA,Rye
Lot 40 Cask Strength 12 Year Old (2017),9.1,0.26,10,$$$$,Rye-like,,,Canada,Rye
High West Midwinter Night‰Ûªs Dram Rye,9.09,0.17,14,$$$$$,Rye-like,,R4,USA,Rye
Van Winkle Family Reserve Rye 13yo,9.07,0.45,10,$$$$$+,Rye-like,,R4,USA,Rye
Canadian Club 30yo,9,0.18,6,$$$$$,Rye-like,,,Canada,Blend
Gibson's Finest Rare 18yo,8.98,0.31,10,$$$$,Rye-like,,,Canada,Blend
Canadian Club 40yo,8.97,0.46,8,$$$$$,Rye-like,,,Canada,Blend
J.P. Wiser's Legacy,8.97,0.36,16,$$,Rye-like,,,Canada,Blend
Canadian Rockies 21yo,8.94,0.28,8,$$$,Rye-like,,,Canada,Blend
J.P. Wiser‰Ûªs 35yo,8.94,0.56,13,$$$$$,Rye-like,,,Canada,Rye
Sazerac 18yo,8.94,0.3,16,$$$$$+,Rye-like,,R4,USA,Rye
J.P. Wiser's Dissertation,8.93,0.26,8,$$$,Rye-like,,,Canada,Blend
High West Rendezvous Rye,8.92,0.28,18,$$$$,Rye-like,,R4,USA,Rye
"Forty Creek Confederation Oak (Batch C, D)",8.91,0.3,3,$$$,Rye-like,,,Canada,Blend
Michter's Barrel Strength Rye,8.9,0.15,6,$$$$,Rye-like,,R4,USA,Rye
Willett Family Estate 6yo Rye,8.9,0.23,5,$$$$,Rye-like,,R4,USA,Rye
Lot 40,8.89,0.33,22,$$,Rye-like,,,Canada,Rye
Amrut Rye,8.88,0.28,7,$$$$,Rye-like,,,India,Rye
Willett Family Estate 7yo Rye,8.88,0.25,5,$$$$,Rye-like,,R4,USA,Rye
Masterson's Straight Rye 10yo,8.86,0.39,17,$$$$,Rye-like,,,Canada,Rye
Whistlepig The Boss Hog,8.86,0.28,11,$$$$$,Rye-like,,,Canada,Blend
High West Double Rye Manhattan Barrel,8.85,0.35,5,$$$,Rye-like,,R4,USA,Rye
Crown Royal Hand Selected Barrel,8.84,0.25,10,$$$,Rye-like,,,Canada,Blend
Michter's 10yo Single Barrel Rye,8.83,0.26,7,$$$$$+,Rye-like,,R4,USA,Rye
Willett Family Estate 4yo Rye,8.83,0.5,8,$$$,Rye-like,,R4,USA,Rye
Forty Creek Heritage 2017,8.82,0.4,4,$$$,Rye-like,,,Canada,Blend
"Forty Creek Confederation Oak (Batch A, B)",8.81,0.41,17,$$$,Rye-like,,,Canada,Blend
J.P. Wiser's Union 52,8.81,0.33,10,$$$,Rye-like,,,Canada,Blend
Whistlepig 10yo,8.81,0.43,16,$$$$,Rye-like,,,Canada,Blend
Forty Creek Port Wood Reserve 2011/2012,8.8,0.25,10,$$$$,Rye-like,,,Canada,Blend
J.P. Wiser‰Ûªs Red Letter,8.79,0.37,13,$$$$,Rye-like,,,Canada,Blend
Willett Family Estate 5yo Rye,8.79,0.27,4,$$$$,Rye-like,,R4,USA,Rye
Forty Creek Confederation Oak (All Batches),8.78,0.37,19,$$$,Rye-like,,,Canada,Blend
Willett Family Estate 25yo Rye,8.77,0.49,3,$$$$$+,Rye-like,,R4,USA,Rye
Forty Creek Heart of Gold,8.76,0.38,10,$$$$,Rye-like,,,Canada,Blend
Highwood Ninety Rye 20yo,8.75,0.31,12,$$,Rye-like,,,Canada,Blend
Willett Family Estate Rye (all ages),8.75,0.29,16,$$$$,Rye-like,,R4,USA,Rye
High West Bourye,8.74,0.37,10,$$$$,Rye-like,,R4,USA,Blend
Willett Family Estate 3yo Rye,8.74,0.45,8,$$$,Rye-like,,R4,USA,Rye
Pikesville Straight Rye,8.73,0.45,16,$$$$,Rye-like,,R4,USA,Rye
Colonel E.H. Taylor Straight Rye,8.72,0.26,10,$$$$,Rye-like,,R4,USA,Rye
High West Double Rye,8.72,0.3,17,$$,Rye-like,,R4,USA,Rye
Century Reserve 21yo,8.71,0.2,11,$$,Rye-like,,,Canada,Blend
Forty Creek Double Barrel Reserve,8.71,0.39,12,$$$,Rye-like,,,Canada,Blend
Millstone 100 Rye,8.71,0.29,9,$$$$,Rye-like,,,Netherlands,Rye
Forty Creek Copper Pot Reserve,8.7,0.36,14,$,Rye-like,,,Canada,Blend
Russell's Reserve 6yo Rye,8.7,0.29,7,$$$,Rye-like,,R4,USA,Rye
Crown Royal Noble Collection Wine Barrel Finished,8.69,0.51,6,$$$,Rye-like,,,Canada,Blend
Jack Daniel's Single Barrel Rye,8.68,0.21,6,$$$,Rye-like,,R4,USA,Rye
Pike Creek 21yo Speyside Cask Finish,8.68,0.36,9,$$$$,Rye-like,,,Canada,Blend
Angel‰Ûªs Envy Rye (Rum-finished),8.67,0.52,10,$$$$,Rye-like,,R4,USA,Rye
Michter's Single Barrel Straight Rye,8.66,0.41,11,$$$,Rye-like,,R4,USA,Rye
Alberta Rye Dark Batch,8.65,0.21,10,$$,Rye-like,,,Canada,Blend
Gooderham & Worts Four Grain,8.65,0.26,13,$$,Rye-like,,,Canada,Blend
Canadian Club 20yo,8.64,0.29,11,$$$,Rye-like,,,Canada,Blend
FEW Rye Whisky,8.64,0.55,7,$$$$,Rye-like,,R4,USA,Rye
Alberta Premium Dark Horse,8.62,0.35,17,$,Rye-like,,,Canada,Blend
Crown Royal Monarch 75th Anniversary,8.62,0.47,12,$$$,Rye-like,,,Canada,Blend
Gooderham & Worts 17yo Little Trinity Three Grain,8.62,0.34,9,$$$$,Rye-like,,,Canada,Blend
Masterson's Straight Wheat 12yo,8.62,0.24,9,$$$$,Rye-like,,,Canada,Wheat
Jefferson's Straight Rye 10yo,8.61,0.36,7,$$$,Rye-like,,R4,USA,Rye
Smooth Ambler Old Scout 7yo Rye,8.6,0.38,8,$$$,Rye-like,,R4,USA,Rye
Forty Creek Evolution,8.59,0.71,9,$$$,Rye-like,,,Canada,Blend
Rittenhouse Rye 100 Proof,8.59,0.22,18,$$,Rye-like,,R4,USA,Rye
Sazerac Straight Rye,8.58,0.44,15,$$,Rye-like,,R4,USA,Rye
Crown Royal XO,8.57,0.53,8,$$$,Rye-like,,,Canada,Blend
J.P. Wiser‰Ûªs 18yo,8.57,0.43,18,$$$,Rye-like,,,Canada,Blend
Masterson's Straight Barley 10yo,8.57,0.59,7,$$$$,Rye-like,,,Canada,Barley
Collingwood 21yo,8.56,0.4,13,$$$,Rye-like,,,Canada,Blend
High West Double Rye Campfire Barrel,8.56,0.31,5,$$$,Rye-like,,R4,USA,Rye
Caribou Crossing Single Barrel,8.55,0.37,13,$$$$,Rye-like,,,Canada,Blend
Crown Royal Northern Harvest Rye,8.55,0.34,18,$$,Rye-like,,,Canada,Blend
Stalk & Barrel Rye,8.54,0.22,5,$$$,Rye-like,,,Canada,Blend
Knob Creek Small Batch Straight Rye Whiskey,8.53,0.38,17,$$$,Rye-like,,R4,USA,Rye
Pike Creek 10yo Rum-finished,8.53,0.23,9,$$,Rye-like,,,Canada,Blend
"Forty Creek Confederation Oak (Batch E, F)",8.52,0.26,5,$$$,Rye-like,,,Canada,Blend
J.P. Wiser's Small Batch,8.52,0.27,11,$,Rye-like,,,Canada,Blend
Danfield's 21yo,8.51,0.67,13,$$,Rye-like,,,Canada,Blend
J.P. Wiser‰Ûªs One Fifty,8.5,0.41,8,$$,Rye-like,,,Canada,Blend
Wild Turkey 101 Rye,8.48,0.28,13,$$,Rye-like,,R4,USA,Rye
Willett Family Estate 2yo Rye,8.48,0.3,9,$$$,Rye-like,,R4,USA,Rye
Forty Creek Founder's Reserve,8.47,0.35,6,$$$,Rye-like,,,Canada,Blend
Crown Royal Reserve,8.46,0.65,15,$$$,Rye-like,,,Canada,Blend
George Dickel Rye,8.46,0.37,14,$$,Rye-like,,R4,USA,Rye
Jim Beam Pre-Prohibition Rye,8.46,0.37,6,$,Rye-like,,R4,USA,Rye
J.P. Wiser's Triple Barrel Rye,8.45,0.4,6,$,Rye-like,,,Canada,Blend
Prichard‰Ûªs Rye,8.45,0.29,3,$$$$,Rye-like,,R4,USA,Rye
Forty Creek Barrel Select,8.43,0.44,17,$,Rye-like,,,Canada,Blend
High West Son of Bourye,8.43,0.4,12,$$$,Rye-like,,R4,USA,Blend
J.P. Wiser‰Ûªs 15yo,8.42,0.22,6,$$$,Rye-like,,,Canada,Blend
Stalk & Barrel Rye (Cask Strength),8.42,0.42,9,$$$,Rye-like,,,Canada,Blend
Potter's Special Old,8.4,0.45,4,$,Rye-like,,,Canada,Blend
High West Yippee Ki-Yay,8.39,0.64,8,$$$$,Rye-like,,R4,USA,Rye
Woodford Reserve Straight Rye,8.39,0.33,10,$$,Rye-like,,R4,USA,Rye
Canadian Club Reserve 10yo,8.37,0.6,9,$$,Rye-like,,,Canada,Blend
Crown Royal Noble Collection Cornerstone Blend,8.37,0.68,5,$$$,Rye-like,,,Canada,Blend
Pike Creek 10yo Port-finished,8.35,0.37,13,$$,Rye-like,,,Canada,Blend
Stalk & Barrel Red Blend,8.35,0.43,5,$$,Rye-like,,,Canada,Blend
Centennial 10yo,8.34,0.43,6,$,Rye-like,,,Canada,Blend
J.P. Wiser's Double Still Rye,8.34,0.36,8,$,Rye-like,,,Canada,Blend
Forty Creek Three Grain Harmony,8.33,0.51,8,$$$,Rye-like,,,Canada,Blend
Jack Daniel's Rested Tennessee Rye (Batch 1/2),8.32,0.48,4,$$$,Rye-like,,R4,USA,Rye
Bulleit Rye,8.31,0.61,18,$$,Rye-like,,R4,USA,Rye
Canadian Club 100% Rye,8.3,0.4,16,$,Rye-like,,,Canada,Rye
Yellow Rose Straight Rye,8.3,0.53,5,$$$,Rye-like,,R4,USA,Rye
Crown Royal Limited Edition,8.29,0.2,11,$$,Rye-like,,,Canada,Blend
66 Gilead Crimson Rye,8.27,0.45,7,$$,Rye-like,,,Canada,Blend
Alberta Springs 10yo,8.27,0.43,9,$,Rye-like,,,Canada,Blend
Willett Family Estate Rye XCF 1.0,8.27,0.48,4,$$$$$,Rye-like,,R4,USA,Rye
Pendleton 1910,8.26,0.68,9,$$,Rye-like,,,Canada,Blend
Gibson's Bold 8yo,8.24,0.45,5,$,Rye-like,,,Canada,Blend
Crown Royal Black,8.2,0.5,16,$$,Rye-like,,,Canada,Blend
Canadian Club Sherry Cask,8.19,0.64,8,$$,Rye-like,,,Canada,Blend
Stalk & Barrel 11+1 Canadian whisky,8.19,0.41,17,$$,Rye-like,,,Canada,Blend
Hiram Walker Special Old Rye,8.17,0.36,9,$,Rye-like,,,Canada,Blend
Alberta Premium,8.16,0.66,12,$,Rye-like,,,Canada,Blend
Canadian Club Classic 12yo (Small Batch),8.12,0.45,13,$,Rye-like,,,Canada,Blend
Koval Single Barrel Rye,8.12,0.2,5,$$$,Rye-like,,R4,USA,Rye
Century Reserve Lot 15/25,8.11,0.95,6,$,Rye-like,,,Canada,Blend
Coyote Ugly,8.08,0.52,5,$,Rye-like,,,Canada,Blend
Canada Gold,8.07,0.7,5,$,Rye-like,,,Canada,Blend
Canadian Mist Black Diamond,8.06,0.52,6,$,Rye-like,,,Canada,Blend
Royal Canadian Small Batch,8.06,0.36,13,$$,Rye-like,,,Canada,Blend
Wild Turkey 81 Rye,8.05,0.2,7,$$,Rye-like,,R4,USA,Rye
Collingwood,8.04,0.31,10,$$,Rye-like,,,Canada,Blend
Ezra Brooks Rye,8.04,0.5,3,$,Rye-like,,R4,USA,Rye
Gibson's Finest Sterling,8.01,0.37,9,$,Rye-like,,,Canada,Blend
Canadian Club Reserve 9yo,8,0.48,5,$,Rye-like,,,Canada,Blend
Twelve Barrels,8,0.42,5,$$,Rye-like,,,Canada,Blend
Jim Beam Rye,7.99,0.59,11,$,Rye-like,,R4,USA,Rye
Templeton Rye,7.99,0.42,7,$$$,Rye-like,,R4,USA,Rye
Highwood Ninety 5yo,7.98,0.77,8,$,Rye-like,,,Canada,Blend
Pendleton (Let'er Buck),7.98,0.52,14,$$,Rye-like,,,Canada,Blend
J.P. Wiser‰Ûªs Rye,7.97,0.43,9,$,Rye-like,,,Canada,Blend
J.P. Wiser's Hopped,7.97,0.52,6,$,Rye-like,,,Canada,Blend
Stalk & Barrel Blue Blend,7.94,0.63,4,$$,Rye-like,,,Canada,Blend
J.P. Wiser's Deluxe,7.93,0.68,11,$,Rye-like,,,Canada,Blend
Wayne Gretzky No. 99 Red Cask,7.9,0.44,9,$$,Rye-like,,,Canada,Blend
Gibson's Finest 12yo,7.86,0.75,12,$,Rye-like,,,Canada,Blend
Schenley Golden Wedding,7.81,0.66,10,$,Rye-like,,,Canada,Blend
Rich and Rare,7.78,0.6,6,$,Rye-like,,,Canada,Blend
Rich and Rare Reserve,7.76,0.53,7,$,Rye-like,,,Canada,Blend
Black Velvet 3yo,7.74,0.9,9,$,Rye-like,,,Canada,Blend
Seagram's VO,7.73,0.66,10,$,Rye-like,,,Canada,Blend
Silk Tassel,7.69,0.75,4,$,Rye-like,,,Canada,Blend
Canadian Mist,7.6,0.65,11,$,Rye-like,,,Canada,Blend
Crown Royal,7.59,0.49,19,$,Rye-like,,,Canada,Blend
8 Seconds,7.54,0.43,5,$$,Rye-like,,,Canada,Blend
J.P. Wiser's Special Blend,7.4,0.8,6,$,Rye-like,,,Canada,Blend
Seagram's Canadian 83,7.34,0.78,7,$,Rye-like,,,Canada,Blend
Canadian Club (Premium),7.31,0.71,18,$,Rye-like,,,Canada,Blend
Black Velvet Reserve 8yo,7.24,0.62,3,$,Rye-like,,,Canada,Blend
Proof Whisky,7.21,0.79,9,$$,Rye-like,,,Canada,Blend
Black Velvet Deluxe,7.12,0.76,8,$,Rye-like,,,Canada,Blend
Ellington Reserve 8yo,6.91,1.02,4,$,Rye-like,,,Canada,Blend
Willett Family Estate 22yo Bourbon,9.32,0.12,3,$$$$$+,Bourbon-like,,R2,USA,Bourbon
Parker‰Ûªs Heritage 2nd 27yo Kentucky Straight Boubon,9.28,0.36,3,$$$$$+,Bourbon-like,,R1,USA,Bourbon
Pappy Van Winkle Family Reserve Bourbon 20yo,9.25,0.33,14,$$$$$+,Bourbon-like,,R0,USA,Bourbon
Pappy Van Winkle Family Reserve Bourbon 15yo,9.24,0.24,11,$$$$$+,Bourbon-like,,R0,USA,Bourbon
William Larue Weller,9.24,0.24,16,$$$$$+,Bourbon-like,,R0,USA,Bourbon
George T Stagg,9.2,0.27,23,$$$$$+,Bourbon-like,,R1,USA,Bourbon
Parker‰Ûªs Heritage 7th 10yo Promise of Hope,9.2,0.33,9,$$$$$+,Bourbon-like,,R1,USA,Bourbon
Willett Family Estate 24yo Bourbon,9.19,0.29,3,$$$$$+,Bourbon-like,,R2,USA,Bourbon
Elijah Craig 21yo,9.16,0.37,6,$$$$$+,Bourbon-like,,R1,USA,Bourbon
Wild Turkey 15yo American Spirit,9.13,0.31,3,$$$$$+,Bourbon-like,,R2,USA,Bourbon
Parker‰Ûªs Heritage 4th 10yo Wheated Mash Bill Bourbon,9.09,0.22,5,$$$$$+,Bourbon-like,,R0,USA,Bourbon
Parker‰Ûªs Heritage 5th 10yo Cognac Barrel Finished,9.07,0.36,9,$$$$$+,Bourbon-like,,R1,USA,Bourbon
"Buffalo Trace Experimental Collection 12yo floor #5 (rye, 2014)",9.06,0.23,5,$$$$$,Bourbon-like,,R1,USA,Bourbon
Four Roses Small Batch Limited Edition,9.05,0.2,17,$$$$$+,Bourbon-like,,R3,USA,Bourbon
Parker‰Ûªs Heritage 6th Blend of Mashbills,9.05,0.12,6,$$$$$+,Bourbon-like,,R1,USA,Bourbon
William Heavenhill BiB,9.05,0.13,5,$$$$$+,Bourbon-like,,R2,USA,Bourbon
Michter's 20yo Single Barrel Bourbon,9.04,0.44,5,$$$$$+,Bourbon-like,,R1,USA,Bourbon
Parker‰Ûªs Heritage 11th 2017 11yo,9.04,0.17,4,$$$$$,Bourbon-like,,R1,USA,Bourbon
